,,,,,,
Obinger Kreuz,1667,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Ochsenhorn,1615,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Ochsenlahnerkogel,1501,"Berg, Gipfel",Österreich,Salzburg,Chiemgauer Alpen,
Pastaukopf,1325,"Berg, Gipfel",Österreich,Tirol,Chiemgauer Alpen,
Peitingköpfl,1720,"Berg, Gipfel",Österreich,Salzburg,Chiemgauer Alpen,
Perchthöhe,1667,"Berg, Gipfel",Österreich,Salzburg,Chiemgauer Alpen,
Pflasterbachhörndl,1270,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Platte (Ruhpolding),1168,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Poschinger Wand,1258,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Predigtstuhl (Aschau im Chiemgau),1494,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,Im bayerischen Landkreis Rosenheim.
Prunzberg,1265,"Berg, Gipfel",Österreich,Salzburg,Chiemgauer Alpen,
Prügelbergkopf,1200,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Rabeneck,1215,"Berg, Gipfel",Österreich,Tirol,Chiemgauer Alpen,
Rabenpalven,1017,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Rabenstein (Ruhpolding),924,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Rabensteinhorn,1373,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Rachelspitz,1415,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Raffen,1564,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Ramseck,1438,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Ramseck Vorgipfel,1422,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Ramseneck,1117,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Rauhe Nadel,1345,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Rauhe-Nadel-Kopf,1266,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Rauher Kopf (Inzell),1135,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Rauschberg Bergwacht,1650,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Rehwaldkopf,1395,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Reifelberg,1883,"Berg, Gipfel",Österreich,Salzburg,Chiemgauer Alpen,
Reifenberg,990,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Reitberg (Reit im Winkl),1143,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Reitstein (Ruhpolding),1250,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Rescharkopf,1393,"Berg, Gipfel",Österreich,Tirol,Chiemgauer Alpen,
Richtstrichkopf,1322,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Riedberg,1135,"Berg, Gipfel",Österreich,Tirol,Chiemgauer Alpen,
Riesenberg (Frasdorf),1450,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Ristfeuchthorn,1569,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Ristfeuchthorn,1569,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Rohnerkopf,1047,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,"Wegloser Gipfel, schwer zu erreichen."
Rossalpenkopf,1762,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Roßalpenberg,1745,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Roßkopf (Unterwössen),1156,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Rudersburg,1434,"Berg, Gipfel",Österreich Deutschland,Tirol Bayern,Chiemgauer Alpen,
Rötlwandkopf,1379,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Sandspitze,1421,"Berg, Gipfel",Österreich Deutschland,Tirol Bayern,Chiemgauer Alpen,
Sattelberg (Samerberg),820,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Saurüsselkopf,1271,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Schachenberg,1076,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Scharnkopf,1356,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Scheibelberg,1465,"Berg, Gipfel",Österreich,Salzburg,Chiemgauer Alpen,
Scheibenwand,1598,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Scheichenberg,1243,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Schlösselschneid,1416,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Schnappenberg,1260,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Schuhmacherkreuz,1627,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Schwarzberg,1187,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Schwarzberghöhe,1328,"Berg, Gipfel",Österreich,Salzburg,Chiemgauer Alpen,
Schwarzenberg (Frasdorf),1136,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,Berg südlich von Frasdorf im Landkreis Rosenheim.
Schwarzenberg (Kampenwand),1126,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,Berg östlich von und im Gemeindegebiet von Aschau im Chiemgau.
Seekopf (Ruhpolding),1173,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Seßseekopf,1153,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Silleck,1565,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Sonnenwendwand,1512,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Sonntagshorn,1961,"Berg, Gipfel",Österreich Deutschland,Salzburg Bayern,Chiemgauer AlpenAlpenvorland,höchster Gipfel der Chiemgauer Alpen
Sonnwendköpfl,1278,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Spielberg (Aschau im Chiemgau),1430,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Spitzberg (Schleching),1444,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Spitzstein,1598,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Spitzwand,977,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Staffelstein,1510,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Staffner,930,"Berg, Gipfel",Österreich,Tirol,Chiemgauer Alpen,
Staudinger Kreuz,1240,"Berg, Gipfel",Österreich,Tirol,Chiemgauer Alpen,"Staudinger Kreuz, auch Ehrenstrasser Kreuz genannt, ist ein fast unbekannter Aussichtsberg im Kaiserwinkl. Einerseits ke"
Steilenberg,1198,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Steinberg (Samerberg),729,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Steinerne Jäger,1272,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Steinplatte,1869,"Berg, Gipfel",Österreich,Tirol Salzburg,Chiemgauer Alpen,
Steinplattengipfel,1848,"Berg, Gipfel",Österreich,Salzburg,Chiemgauer Alpen,
Steinwurfkogel,1588,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,Unbedeutende Erhebung
Streichen,784,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Streicher,1594,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Strohnschneid,1484,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Stuhlkopf,1264,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Sulten,1467,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Sulzbergschneid,1159,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Sulzgrabenkopf,1521,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Tannenbühl,1117,"Berg, Gipfel",Österreich,Tirol,Chiemgauer Alpen,Ist eigentlich nur ein Grashügel
Tauron,1738,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,Südseitig krasser Latschenkampf.Von der Nordseite am einfachsten. Dort wenig Latschenkontakt.
Teisenberg,1333,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Tempelberg (Reit im Winkl),1215,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Teufelsstein (Schleching),1435,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Thoraukopf,1481,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Thorauschneid,1470,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Thällerer Kogel,1337,"Berg, Gipfel",Österreich,Salzburg,Chiemgauer Alpen,
Torkopf (Grassau),844,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Tristmahlnschneid,1452,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
